chr	1	euclidean	ctcf	686	386	0.5635036496350365	28.352784778782492
chr	1	euclidean	smc3	686	296	0.4340175953079179	28.352784778782492
chr	1	euclidean	rad21	686	304	0.44574780058651026	28.352784778782492
chr	1	euclidean	polr2a	686	175	0.2581120943952802	28.352784778782492
chr	1	euclidean	H3K9me3	686	83	0.12116788321167883	28.352784778782492
chr	1	euclidean	h3k4me3	686	218	0.3253731343283582	28.352784778782492
chr	1	euclidean	H3K4me1	686	287	0.4302848575712144	28.352784778782492
chr	1	euclidean	H3K36me3	686	141	0.20704845814977973	28.352784778782492
chr	1	manhattan	ctcf	369	189	0.5121951219512195	52.409877397274975
chr	1	manhattan	smc3	369	137	0.3712737127371274	52.409877397274975
chr	1	manhattan	rad21	369	149	0.4048913043478261	52.409877397274975
chr	1	manhattan	polr2a	369	101	0.27671232876712326	52.409877397274975
chr	1	manhattan	H3K9me3	369	25	0.06775067750677506	52.409877397274975
chr	1	manhattan	h3k4me3	369	110	0.30386740331491713	52.409877397274975
chr	1	manhattan	H3K4me1	369	124	0.3415977961432507	52.409877397274975
chr	1	manhattan	H3K36me3	369	86	0.23497267759562843	52.409877397274975
chr	1	chebyshev	ctcf	901	448	0.5005586592178771	-17.69306476527335
chr	1	chebyshev	smc3	901	328	0.3656633221850613	-17.69306476527335
chr	1	chebyshev	rad21	901	354	0.39377085650723026	-17.69306476527335
chr	1	chebyshev	polr2a	901	215	0.24184476940382452	-17.69306476527335
chr	1	chebyshev	H3K9me3	901	99	0.11012235817575083	-17.69306476527335
chr	1	chebyshev	h3k4me3	901	257	0.2940503432494279	-17.69306476527335
chr	1	chebyshev	H3K4me1	901	354	0.40503432494279173	-17.69306476527335
chr	1	chebyshev	H3K36me3	901	178	0.19866071428571427	-17.69306476527335
chr	2	euclidean	ctcf	498	498	1.0	196.27949702946904
chr	2	euclidean	smc3	498	251	0.5050301810865191	196.27949702946904
chr	2	euclidean	rad21	498	492	1.0	196.27949702946904
chr	2	euclidean	polr2a	498	156	0.31451612903225806	196.27949702946904
chr	2	euclidean	H3K9me3	498	85	0.1710261569416499	196.27949702946904
chr	2	euclidean	h3k4me3	498	184	0.3770491803278688	196.27949702946904
chr	2	euclidean	H3K4me1	498	254	0.5247933884297521	196.27949702946904
chr	2	euclidean	H3K36me3	498	118	0.2383838383838384	196.27949702946904
chr	2	manhattan	ctcf	416	414	1.0	218.67004120477688
chr	2	manhattan	smc3	416	164	0.3942307692307692	218.67004120477688
chr	2	manhattan	rad21	416	415	1.0	218.67004120477688
chr	2	manhattan	polr2a	416	117	0.2819277108433735	218.67004120477688
chr	2	manhattan	H3K9me3	416	37	0.0891566265060241	218.67004120477688
chr	2	manhattan	h3k4me3	416	127	0.3112745098039216	218.67004120477688
chr	2	manhattan	H3K4me1	416	145	0.35365853658536583	218.67004120477688
chr	2	manhattan	H3K36me3	416	94	0.22650602409638554	218.67004120477688
chr	2	chebyshev	ctcf	877	874	1.0	1055.2698865779512
chr	2	chebyshev	smc3	877	251	0.2865296803652968	1055.2698865779512
chr	2	chebyshev	rad21	877	874	1.0	1055.2698865779512
chr	2	chebyshev	polr2a	877	148	0.1689497716894977	1055.2698865779512
chr	2	chebyshev	H3K9me3	877	107	0.12242562929061784	1055.2698865779512
chr	2	chebyshev	h3k4me3	877	182	0.21016166281755197	1055.2698865779512
chr	2	chebyshev	H3K4me1	877	262	0.30289017341040464	1055.2698865779512
chr	2	chebyshev	H3K36me3	877	135	0.15481651376146788	1055.2698865779512
chr	3	euclidean	ctcf	562	256	0.45714285714285713	308.20859017162036
chr	3	euclidean	smc3	562	184	0.3291592128801431	308.20859017162036
chr	3	euclidean	rad21	562	210	0.3756708407871199	308.20859017162036
chr	3	euclidean	polr2a	562	94	0.16815742397137745	308.20859017162036
chr	3	euclidean	H3K9me3	562	68	0.12099644128113879	308.20859017162036
chr	3	euclidean	h3k4me3	562	114	0.20614828209764918	308.20859017162036
chr	3	euclidean	H3K4me1	562	175	0.315884476534296	308.20859017162036
chr	3	euclidean	H3K36me3	562	93	0.16696588868940754	308.20859017162036
chr	3	manhattan	ctcf	398	191	0.4835443037974684	161.7174545696949
chr	3	manhattan	smc3	398	137	0.3442211055276382	161.7174545696949
chr	3	manhattan	rad21	398	157	0.3944723618090452	161.7174545696949
chr	3	manhattan	polr2a	398	73	0.18434343434343434	161.7174545696949
chr	3	manhattan	H3K9me3	398	33	0.0829145728643216	161.7174545696949
chr	3	manhattan	h3k4me3	398	82	0.20812182741116753	161.7174545696949
chr	3	manhattan	H3K4me1	398	109	0.27525252525252525	161.7174545696949
chr	3	manhattan	H3K36me3	398	73	0.18341708542713567	161.7174545696949
chr	3	chebyshev	ctcf	788	348	0.44331210191082804	607.1837428458891
chr	3	chebyshev	smc3	788	266	0.33885350318471336	607.1837428458891
chr	3	chebyshev	rad21	788	285	0.36445012787723785	607.1837428458891
chr	3	chebyshev	polr2a	788	135	0.1724137931034483	607.1837428458891
chr	3	chebyshev	H3K9me3	788	94	0.11944091486658195	607.1837428458891
chr	3	chebyshev	h3k4me3	788	160	0.20752269779507135	607.1837428458891
chr	3	chebyshev	H3K4me1	788	232	0.2962962962962963	607.1837428458891
chr	3	chebyshev	H3K36me3	788	109	0.13956466069142126	607.1837428458891
chr	4	euclidean	ctcf	513	188	0.3679060665362035	304.66333899534914
chr	4	euclidean	smc3	513	136	0.26666666666666666	304.66333899534914
chr	4	euclidean	rad21	513	155	0.30332681017612523	304.66333899534914
chr	4	euclidean	polr2a	513	71	0.13840155945419103	304.66333899534914
