chr	1	422530.86419753084
chr	2	500228.8329519451
chr	3	488873.62637362635
chr	4	395179.0633608815
chr	5	461604.58452722064
chr	6	400000.0
chr	7	476767.6767676767
chr	8	408333.3333333333
chr	9	434070.796460177
chr	10	472332.0158102767
chr	11	460966.54275092937
chr	12	453435.1145038168
chr	13	444623.6559139785
chr	14	474260.3550295858
chr	15	423410.40462427743
chr	16	458750.00000000006
chr	17	386390.5325443787
chr	18	421052.63157894736
chr	19	375000.0
chr	20	401199.99999999994
chr	21	454545.4545454546
chr	22	2301162.7906976747
