chr	1	1025576.0368663594
chr	2	1975652.1739130435
chr	3	820379.1469194313
chr	4	491438.3561643835
chr	5	1168794.326241135
chr	6	717250.0
chr	7	984827.5862068965
chr	8	781089.7435897436
chr	9	1428089.8876404495
chr	10	1329569.8924731181
chr	11	1637012.9870129868
chr	12	870075.7575757576
chr	13	16164285.714285715
chr	14	838392.8571428572
chr	15	706967.2131147541
chr	16	1407627.1186440678
chr	17	640825.6880733945
chr	18	4055263.157894737
chr	19	591975.3086419753
chr	20	7800000.0
chr	21	665000.0
chr	22	700819.6721311476
