chr	1	1939999.9999999998
chr	2	2214761.904761905
chr	3	1812621.359223301
chr	4	1041417.9104477612
chr	5	2613636.3636363638
chr	6	1604705.8823529412
chr	7	2041095.8904109588
chr	8	1185714.2857142857
chr	9	2172222.222222222
chr	10	1280526.3157894737
chr	11	1754054.054054054
chr	12	1830434.7826086958
chr	13	2100000.0
chr	14	2379310.3448275863
chr	15	1788235.294117647
chr	16	1233962.2641509434
chr	17	1170370.3703703703
chr	18	1381818.1818181819
chr	19	1240243.9024390243
chr	20	1656666.6666666667
chr	21	1193181.8181818181
chr	22	1459375.0
