chr	1	ctcf	217	130	0.5990783410138248	84.8134918017519
chr	1	smc3	217	96	0.4444444444444444	84.8134918017519
chr	1	rad21	217	101	0.46543778801843316	84.8134918017519
chr	1	polr2a	217	74	0.34101382488479265	84.8134918017519
chr	1	H3K9me3	217	21	0.0967741935483871	84.8134918017519
chr	1	h3k4me3	217	74	0.35071090047393366	84.8134918017519
chr	1	H3K4me1	217	98	0.46226415094339623	84.8134918017519
chr	1	H3K36me3	217	70	0.32558139534883723	84.8134918017519
chr	2	ctcf	115	115	1.0	-18.055535546987883
chr	2	smc3	115	45	0.391304347826087	-18.055535546987883
chr	2	rad21	115	115	1.0	-18.055535546987883
chr	2	polr2a	115	25	0.21739130434782608	-18.055535546987883
chr	2	H3K9me3	115	12	0.10434782608695652	-18.055535546987883
chr	2	h3k4me3	115	36	0.3130434782608696	-18.055535546987883
chr	2	H3K4me1	115	36	0.3157894736842105	-18.055535546987883
chr	2	H3K36me3	115	27	0.23478260869565218	-18.055535546987883
chr	3	ctcf	211	124	0.5904761904761905	346.9543623371036
chr	3	smc3	211	95	0.45454545454545453	346.9543623371036
chr	3	rad21	211	108	0.5167464114832536	346.9543623371036
chr	3	polr2a	211	60	0.2843601895734597	346.9543623371036
chr	3	H3K9me3	211	35	0.16666666666666666	346.9543623371036
chr	3	h3k4me3	211	62	0.30392156862745096	346.9543623371036
chr	3	H3K4me1	211	83	0.41089108910891087	346.9543623371036
chr	3	H3K36me3	211	61	0.2904761904761905	346.9543623371036
chr	4	ctcf	292	135	0.4623287671232877	903.0224487810416
chr	4	smc3	292	102	0.3493150684931507	903.0224487810416
chr	4	rad21	292	121	0.4143835616438356	903.0224487810416
chr	4	polr2a	292	46	0.15862068965517243	903.0224487810416
chr	4	H3K9me3	292	25	0.08561643835616438	903.0224487810416
chr	4	h3k4me3	292	60	0.20689655172413793	903.0224487810416
chr	4	H3K4me1	292	68	0.23367697594501718	903.0224487810416
chr	4	H3K36me3	292	30	0.10344827586206896	903.0224487810416
chr	5	ctcf	141	73	0.5214285714285715	-1.918661304510124
chr	5	smc3	141	61	0.4357142857142857	-1.918661304510124
chr	5	rad21	141	63	0.45	-1.918661304510124
chr	5	polr2a	141	43	0.30935251798561153	-1.918661304510124
chr	5	H3K9me3	141	13	0.09219858156028368	-1.918661304510124
chr	5	h3k4me3	141	58	0.4142857142857143	-1.918661304510124
chr	5	H3K4me1	141	57	0.40425531914893614	-1.918661304510124
chr	5	H3K36me3	141	41	0.29285714285714287	-1.918661304510124
chr	6	ctcf	200	97	0.48743718592964824	389.6248832851405
chr	6	smc3	200	75	0.375	389.6248832851405
chr	6	rad21	200	77	0.385	389.6248832851405
chr	6	polr2a	200	45	0.22959183673469388	389.6248832851405
chr	6	H3K9me3	200	17	0.085	389.6248832851405
chr	6	h3k4me3	200	61	0.3112244897959184	389.6248832851405
chr	6	H3K4me1	200	56	0.28426395939086296	389.6248832851405
chr	6	H3K36me3	200	38	0.19	389.6248832851405
chr	7	ctcf	145	81	0.5586206896551724	138.9079465417067
chr	7	smc3	145	57	0.3931034482758621	138.9079465417067
chr	7	rad21	145	68	0.4689655172413793	138.9079465417067
chr	7	polr2a	145	40	0.2777777777777778	138.9079465417067
chr	7	H3K9me3	145	14	0.09655172413793103	138.9079465417067
chr	7	h3k4me3	145	46	0.3262411347517731	138.9079465417067
chr	7	H3K4me1	145	57	0.3931034482758621	138.9079465417067
chr	7	H3K36me3	145	26	0.1793103448275862	138.9079465417067
chr	8	ctcf	156	76	0.48717948717948717	591.0914572425229
chr	8	smc3	156	58	0.3717948717948718	591.0914572425229
chr	8	rad21	156	57	0.36538461538461536	591.0914572425229
chr	8	polr2a	156	34	0.21794871794871795	591.0914572425229
chr	8	H3K9me3	156	12	0.07692307692307693	591.0914572425229
chr	8	h3k4me3	156	37	0.24183006535947713	591.0914572425229
chr	8	H3K4me1	156	55	0.3548387096774194	591.0914572425229
chr	8	H3K36me3	156	30	0.19480519480519481	591.0914572425229
chr	9	ctcf	89	89	1.0	57.84619401711517
chr	9	smc3	89	37	0.4157303370786517	57.84619401711517
chr	9	rad21	89	35	0.39325842696629215	57.84619401711517
chr	9	polr2a	89	27	0.30337078651685395	57.84619401711517
chr	9	H3K9me3	89	14	0.15730337078651685	57.84619401711517
chr	9	h3k4me3	89	37	0.4157303370786517	57.84619401711517
chr	9	H3K4me1	89	43	0.48314606741573035	57.84619401711517
chr	9	H3K36me3	89	26	0.3058823529411765	57.84619401711517
chr	10	ctcf	93	63	0.6774193548387096	1.1803636752342186
chr	10	smc3	93	46	0.4946236559139785	1.1803636752342186
chr	10	rad21	93	51	0.5483870967741935	1.1803636752342186
chr	10	polr2a	93	34	0.3655913978494624	1.1803636752342186
chr	10	H3K9me3	93	11	0.11827956989247312	1.1803636752342186
chr	10	h3k4me3	93	44	0.4782608695652174	1.1803636752342186
chr	10	H3K4me1	93	51	0.5483870967741935	1.1803636752342186
chr	10	H3K36me3	93	38	0.40860215053763443	1.1803636752342186
chr	11	ctcf	77	47	0.6103896103896104	444.5314846003292
chr	11	smc3	77	40	0.5194805194805194	444.5314846003292
chr	11	rad21	77	39	0.5064935064935064	444.5314846003292
chr	11	polr2a	77	21	0.2727272727272727	444.5314846003292
chr	11	H3K9me3	77	8	0.1038961038961039	444.5314846003292
chr	11	h3k4me3	77	23	0.3026315789473684	444.5314846003292
chr	11	H3K4me1	77	21	0.28	444.5314846003292
chr	11	H3K36me3	77	20	0.2597402597402597	444.5314846003292
